,0,1,2
80,287328,화성 동탄남명점,"경기 화성시 10용사로 343-10 (능동, 정문 빌딩)"
81,287329,화성 동탄kcc점,경기 화성시 동탄시범한빛길 33 (반송동)
82,287330,화성 동탄76-2블럭점,"경기 화성시 효행로 1051 (진안동, 메인프라자)"
83,287331,화성 동탄2 이지점,"경기 화성시 동탄순환대로28길 17 (영천동, 동탄2신도시 EG the1 아파트)"
84,287332,화성 동탄2 동원2차점,"경기 화성시 동탄순환대로19길 21 (목동, 동탄동원로얄듀크2차)"
85,287333,화성 동탄 파라곤점,경기 화성시 동탄기흥로 393-20
86,287334,화성 동탄 월드점,"경기 화성시 동탄중앙로 187 (반송동, 동탄시범다은마을 월드메르디앙반도유보라)"
87,287335,화성 동탄 예솔초점,"경기 화성시 동탄순환대로22길 46 (청계동, 청계숲 사랑으로 부영)"
88,287336,화성 동탄 영천점,"경기 화성시 동탄순환대로27길 45 (영천동, 동탄역 센트럴 예미지)"
89,287337,화성 동탄 솔빛점,"경기 화성시 동탄반석로 70 (반송동, 솔빛마을신도브래뉴아파트)"
90,287338,화성 동탄 삼부점,"경기 화성시 동탄반석로 205 (반송동, 동탄시범한빛마을 삼부르네상스)"
91,287339,화성 동탄 목동점,경기 화성시 동탄순환대로18길 16 (목동)
92,287340,화성 동탄 르파비스점,"경기 화성시 동탄면 동탄순환대로20길 115 (목리, 르파비스)"
93,287341,화성 동탄 레이크빌점,"경기 화성시 동탄면 동탄대로9길 20 (송리, 동탄2 LH 26단지 아파트 A65BL)"
94,287342,화성 동탄 늘봄초점,"경기 화성시 동탄대로24길 74 (영천동, 중흥에스클래스더테라스)"
95,287343,화성 동원 3차점,"경기 화성시 동부대로 1062 (오산동, 동탄역동원로얄듀크비스타3차)"
96,287344,화성 도연쌤 스터디 하우스점,"경기 화성시 동탄순환대로 881-10 (영천동, 동탄역 푸르지오)"
97,287345,화성 더샵레이크점,경기 화성시 동탄대로10길 20
